country;variable;percentile;year;value;age;pop
QA;tptinc992j;p98p99;1990;1519973.0;992;j
QA;tptinc992j;p98p99;1991;1452477.0;992;j
QA;tptinc992j;p98p99;1992;1600798.6;992;j
QA;tptinc992j;p98p99;1993;1547349.0;992;j
QA;tptinc992j;p98p99;1994;1538786.1;992;j
QA;tptinc992j;p98p99;1995;1539220.6;992;j
QA;tptinc992j;p98p99;1996;1570177.5;992;j
QA;tptinc992j;p98p99;1997;1949824.3;992;j
QA;tptinc992j;p98p99;1998;2038057.5;992;j
QA;tptinc992j;p98p99;1999;2113778.3;992;j
QA;tptinc992j;p98p99;2000;2331578.8;992;j
QA;tptinc992j;p98p99;2001;2303830.0;992;j
QA;tptinc992j;p98p99;2002;2381842.0;992;j
QA;tptinc992j;p98p99;2003;2325192.5;992;j
QA;tptinc992j;p98p99;2004;2478602.0;992;j
QA;tptinc992j;p98p99;2005;2406643.0;992;j
QA;tptinc992j;p98p99;2006;2629058.3;992;j
QA;tptinc992j;p98p99;2007;2641972.5;992;j
QA;tptinc992j;p98p99;2008;2690980.3;992;j
QA;tptinc992j;p98p99;2009;2660566.8;992;j
QA;tptinc992j;p98p99;2010;2644196.8;992;j
QA;tptinc992j;p98p99;2011;2810855.0;992;j
QA;tptinc992j;p98p99;2012;2767402.0;992;j
QA;tptinc992j;p98p99;2013;2767609.3;992;j
QA;tptinc992j;p98p99;2014;2784772.0;992;j
QA;tptinc992j;p98p99;2015;2805765.0;992;j
QA;tptinc992j;p98p99;2016;2775039.5;992;j
QA;tptinc992j;p98p100;1990;1519973.0;992;j
QA;tptinc992j;p98p100;1991;1452477.0;992;j
QA;tptinc992j;p98p100;1992;1600798.6;992;j
QA;tptinc992j;p98p100;1993;1547349.0;992;j
QA;tptinc992j;p98p100;1994;1538786.1;992;j
QA;tptinc992j;p98p100;1995;1539220.6;992;j
QA;tptinc992j;p98p100;1996;1570177.5;992;j
QA;tptinc992j;p98p100;1997;1949824.3;992;j
QA;tptinc992j;p98p100;1998;2038057.5;992;j
QA;tptinc992j;p98p100;1999;2113778.3;992;j
QA;tptinc992j;p98p100;2000;2331578.8;992;j
QA;tptinc992j;p98p100;2001;2303830.0;992;j
QA;tptinc992j;p98p100;2002;2381842.0;992;j
QA;tptinc992j;p98p100;2003;2325192.5;992;j
QA;tptinc992j;p98p100;2004;2478602.0;992;j
QA;tptinc992j;p98p100;2005;2406643.0;992;j
QA;tptinc992j;p98p100;2006;2629058.3;992;j
QA;tptinc992j;p98p100;2007;2641972.5;992;j
QA;tptinc992j;p98p100;2008;2690980.3;992;j
QA;tptinc992j;p98p100;2009;2660566.8;992;j
QA;tptinc992j;p98p100;2010;2644196.8;992;j
QA;tptinc992j;p98p100;2011;2810855.0;992;j
QA;tptinc992j;p98p100;2012;2767402.0;992;j
QA;tptinc992j;p98p100;2013;2767609.3;992;j
QA;tptinc992j;p98p100;2014;2784772.0;992;j
QA;tptinc992j;p98p100;2015;2805765.0;992;j
QA;tptinc992j;p98p100;2016;2775039.5;992;j
QA;tptinc992j;p97p98;1990;1249280.6;992;j
QA;tptinc992j;p97p98;1991;1193551.3;992;j
QA;tptinc992j;p97p98;1992;1315181.6;992;j
QA;tptinc992j;p97p98;1993;1270980.0;992;j
QA;tptinc992j;p97p98;1994;1263611.8;992;j
QA;tptinc992j;p97p98;1995;1263805.9;992;j
QA;tptinc992j;p97p98;1996;1288605.9;992;j
QA;tptinc992j;p97p98;1997;1599420.4;992;j
QA;tptinc992j;p97p98;1998;1670927.8;992;j
QA;tptinc992j;p97p98;1999;1732771.6;992;j
QA;tptinc992j;p97p98;2000;1911039.0;992;j
QA;tptinc992j;p97p98;2001;1886848.0;992;j
QA;tptinc992j;p97p98;2002;1949707.4;992;j
QA;tptinc992j;p97p98;2003;1902309.5;992;j
QA;tptinc992j;p97p98;2004;2026870.9;992;j
QA;tptinc992j;p97p98;2005;1960523.8;992;j
QA;tptinc992j;p97p98;2006;2133633.8;992;j
QA;tptinc992j;p97p98;2007;2116626.0;992;j
QA;tptinc992j;p97p98;2008;2062594.3;992;j
QA;tptinc992j;p97p98;2009;2042856.0;992;j
QA;tptinc992j;p97p98;2010;2024985.6;992;j
QA;tptinc992j;p97p98;2011;2102631.3;992;j
QA;tptinc992j;p97p98;2012;2096627.1;992;j
QA;tptinc992j;p97p98;2013;2119820.5;992;j
QA;tptinc992j;p97p98;2014;2018518.8;992;j
QA;tptinc992j;p97p98;2015;2044616.1;992;j
QA;tptinc992j;p97p98;2016;2022225.8;992;j
QA;tptinc992j;p97p100;1990;1249280.6;992;j
QA;tptinc992j;p97p100;1991;1193551.3;992;j
QA;tptinc992j;p97p100;1992;1315181.6;992;j
QA;tptinc992j;p97p100;1993;1270980.0;992;j
QA;tptinc992j;p97p100;1994;1263611.8;992;j
QA;tptinc992j;p97p100;1995;1263805.9;992;j
QA;tptinc992j;p97p100;1996;1288605.9;992;j
QA;tptinc992j;p97p100;1997;1599420.4;992;j
QA;tptinc992j;p97p100;1998;1670927.8;992;j
QA;tptinc992j;p97p100;1999;1732771.6;992;j
QA;tptinc992j;p97p100;2000;1911039.0;992;j
QA;tptinc992j;p97p100;2001;1886848.0;992;j
QA;tptinc992j;p97p100;2002;1949707.4;992;j
QA;tptinc992j;p97p100;2003;1902309.5;992;j
QA;tptinc992j;p97p100;2004;2026870.9;992;j
QA;tptinc992j;p97p100;2005;1960523.8;992;j
QA;tptinc992j;p97p100;2006;2133633.8;992;j
QA;tptinc992j;p97p100;2007;2116626.0;992;j
QA;tptinc992j;p97p100;2008;2062594.3;992;j
QA;tptinc992j;p97p100;2009;2042856.0;992;j
QA;tptinc992j;p97p100;2010;2024985.6;992;j
QA;tptinc992j;p97p100;2011;2102631.3;992;j
QA;tptinc992j;p97p100;2012;2096627.1;992;j
QA;tptinc992j;p97p100;2013;2119820.5;992;j
QA;tptinc992j;p97p100;2014;2018518.8;992;j
QA;tptinc992j;p97p100;2015;2044616.1;992;j
QA;tptinc992j;p97p100;2016;2022225.8;992;j
QA;tptinc992j;p96p97;1990;1068047.4;992;j
QA;tptinc992j;p96p97;1991;1020078.1;992;j
QA;tptinc992j;p96p97;1992;1123786.1;992;j
QA;tptinc992j;p96p97;1993;1085617.1;992;j
QA;tptinc992j;p96p97;1994;1079123.6;992;j
QA;tptinc992j;p96p97;1995;1078765.1;992;j
QA;tptinc992j;p96p97;1996;1099486.5;992;j
QA;tptinc992j;p96p97;1997;1364184.4;992;j
QA;tptinc992j;p96p97;1998;1425012.6;992;j
QA;tptinc992j;p96p97;1999;1477010.3;992;j
QA;tptinc992j;p96p97;2000;1628140.1;992;j
QA;tptinc992j;p96p97;2001;1606747.8;992;j
QA;tptinc992j;p96p97;2002;1659478.9;992;j
QA;tptinc992j;p96p97;2003;1618451.1;992;j
QA;tptinc992j;p96p97;2004;1723490.5;992;j
QA;tptinc992j;p96p97;2005;1658114.0;992;j
QA;tptinc992j;p96p97;2006;1751715.3;992;j
QA;tptinc992j;p96p97;2007;1702548.1;992;j
QA;tptinc992j;p96p97;2008;1734895.6;992;j
QA;tptinc992j;p96p97;2009;1654931.9;992;j
QA;tptinc992j;p96p97;2010;1596578.9;992;j
QA;tptinc992j;p96p97;2011;1705237.0;992;j
QA;tptinc992j;p96p97;2012;1639437.3;992;j
QA;tptinc992j;p96p97;2013;1559458.1;992;j
QA;tptinc992j;p96p97;2014;1547673.5;992;j
QA;tptinc992j;p96p97;2015;1416117.1;992;j
QA;tptinc992j;p96p97;2016;1400609.5;992;j
QA;tptinc992j;p96p100;1990;1068047.4;992;j
QA;tptinc992j;p96p100;1991;1020078.1;992;j
QA;tptinc992j;p96p100;1992;1123786.1;992;j
QA;tptinc992j;p96p100;1993;1085617.1;992;j
QA;tptinc992j;p96p100;1994;1079123.6;992;j
QA;tptinc992j;p96p100;1995;1078765.1;992;j
QA;tptinc992j;p96p100;1996;1099486.5;992;j
QA;tptinc992j;p96p100;1997;1364184.4;992;j
QA;tptinc992j;p96p100;1998;1425012.6;992;j
QA;tptinc992j;p96p100;1999;1477010.3;992;j
QA;tptinc992j;p96p100;2000;1628140.1;992;j
QA;tptinc992j;p96p100;2001;1606747.8;992;j
QA;tptinc992j;p96p100;2002;1659478.9;992;j
QA;tptinc992j;p96p100;2003;1618451.1;992;j
QA;tptinc992j;p96p100;2004;1723490.5;992;j
QA;tptinc992j;p96p100;2005;1658114.0;992;j
QA;tptinc992j;p96p100;2006;1751715.3;992;j
QA;tptinc992j;p96p100;2007;1702548.1;992;j
QA;tptinc992j;p96p100;2008;1734895.6;992;j
QA;tptinc992j;p96p100;2009;1654931.9;992;j
QA;tptinc992j;p96p100;2010;1596578.9;992;j
QA;tptinc992j;p96p100;2011;1705237.0;992;j
QA;tptinc992j;p96p100;2012;1639437.3;992;j
QA;tptinc992j;p96p100;2013;1559458.1;992;j
QA;tptinc992j;p96p100;2014;1547673.5;992;j
QA;tptinc992j;p96p100;2015;1416117.1;992;j
QA;tptinc992j;p96p100;2016;1400609.5;992;j
QA;tptinc992j;p95p96;1990;931632.13;992;j
QA;tptinc992j;p95p96;1991;889681.31;992;j
QA;tptinc992j;p95p96;1992;979959.63;992;j
QA;tptinc992j;p95p96;1993;946374.69;992;j
QA;tptinc992j;p95p96;1994;940493.13;992;j
QA;tptinc992j;p95p96;1995;940018.81;992;j
QA;tptinc992j;p95p96;1996;957874.0;992;j
QA;tptinc992j;p95p96;1997;1187984.0;992;j
QA;tptinc992j;p95p96;1998;1240112.1;992;j
QA;tptinc992j;p95p96;1999;1284348.5;992;j
QA;tptinc992j;p95p96;2000;1415278.1;992;j
QA;tptinc992j;p95p96;2001;1395401.0;992;j
QA;tptinc992j;p95p96;2002;1439041.6;992;j
QA;tptinc992j;p95p96;2003;1400757.9;992;j
QA;tptinc992j;p95p96;2004;1488603.3;992;j
QA;tptinc992j;p95p96;2005;1380655.4;992;j
QA;tptinc992j;p95p96;2006;1475724.6;992;j
QA;tptinc992j;p95p96;2007;1493462.8;992;j
QA;tptinc992j;p95p96;2008;1413930.0;992;j
QA;tptinc992j;p95p96;2009;1375881.5;992;j
QA;tptinc992j;p95p96;2010;1272080.4;992;j
QA;tptinc992j;p95p96;2011;1266332.0;992;j
QA;tptinc992j;p95p96;2012;1187625.8;992;j
QA;tptinc992j;p95p96;2013;1111713.8;992;j
QA;tptinc992j;p95p96;2014;1014573.7;992;j
QA;tptinc992j;p95p96;2015;921284.38;992;j
QA;tptinc992j;p95p96;2016;911195.31;992;j
QA;tptinc992j;p95p100;1990;931632.13;992;j
QA;tptinc992j;p95p100;1991;889681.31;992;j
QA;tptinc992j;p95p100;1992;979959.63;992;j
QA;tptinc992j;p95p100;1993;946374.69;992;j
QA;tptinc992j;p95p100;1994;940493.13;992;j
QA;tptinc992j;p95p100;1995;940018.81;992;j
QA;tptinc992j;p95p100;1996;957874.0;992;j
QA;tptinc992j;p95p100;1997;1187984.0;992;j
QA;tptinc992j;p95p100;1998;1240112.1;992;j
QA;tptinc992j;p95p100;1999;1284348.5;992;j
QA;tptinc992j;p95p100;2000;1415278.1;992;j
QA;tptinc992j;p95p100;2001;1395401.0;992;j
QA;tptinc992j;p95p100;2002;1439041.6;992;j
QA;tptinc992j;p95p100;2003;1400757.9;992;j
QA;tptinc992j;p95p100;2004;1488603.3;992;j
QA;tptinc992j;p95p100;2005;1380655.4;992;j
QA;tptinc992j;p95p100;2006;1475724.6;992;j
QA;tptinc992j;p95p100;2007;1493462.8;992;j
QA;tptinc992j;p95p100;2008;1413930.0;992;j
QA;tptinc992j;p95p100;2009;1375881.5;992;j
QA;tptinc992j;p95p100;2010;1272080.4;992;j
QA;tptinc992j;p95p100;2011;1266332.0;992;j
QA;tptinc992j;p95p100;2012;1187625.8;992;j
QA;tptinc992j;p95p100;2013;1111713.8;992;j
QA;tptinc992j;p95p100;2014;1014573.7;992;j
QA;tptinc992j;p95p100;2015;921284.38;992;j
QA;tptinc992j;p95p100;2016;911195.31;992;j
QA;tptinc992j;p94p95;1990;822731.88;992;j
QA;tptinc992j;p94p95;1991;785382.81;992;j
QA;tptinc992j;p94p95;1992;864641.31;992;j
QA;tptinc992j;p94p95;1993;834356.88;992;j
QA;tptinc992j;p94p95;1994;828223.69;992;j
QA;tptinc992j;p94p95;1995;826600.31;992;j
QA;tptinc992j;p94p95;1996;841166.31;992;j
QA;tptinc992j;p94p95;1997;1041436.6;992;j
QA;tptinc992j;p94p95;1998;1084750.5;992;j
QA;tptinc992j;p94p95;1999;1119654.9;992;j
QA;tptinc992j;p94p95;2000;1226988.0;992;j
QA;tptinc992j;p94p95;2001;1202518.6;992;j
QA;tptinc992j;p94p95;2002;1233267.3;992;j
QA;tptinc992j;p94p95;2003;1193822.4;992;j
QA;tptinc992j;p94p95;2004;1261902.5;992;j
QA;tptinc992j;p94p95;2005;1200400.1;992;j
QA;tptinc992j;p94p95;2006;1320489.1;992;j
QA;tptinc992j;p94p95;2007;1229243.8;992;j
QA;tptinc992j;p94p95;2008;1226404.9;992;j
QA;tptinc992j;p94p95;2009;1092798.5;992;j
QA;tptinc992j;p94p95;2010;941186.63;992;j
QA;tptinc992j;p94p95;2011;940784.63;992;j
QA;tptinc992j;p94p95;2012;866084.19;992;j
QA;tptinc992j;p94p95;2013;799625.13;992;j
QA;tptinc992j;p94p95;2014;742240.63;992;j
QA;tptinc992j;p94p95;2015;697583.0;992;j
QA;tptinc992j;p94p95;2016;689943.63;992;j
QA;tptinc992j;p94p100;1990;822731.88;992;j
QA;tptinc992j;p94p100;1991;785382.81;992;j
QA;tptinc992j;p94p100;1992;864641.31;992;j
QA;tptinc992j;p94p100;1993;834356.88;992;j
QA;tptinc992j;p94p100;1994;828223.69;992;j
QA;tptinc992j;p94p100;1995;826600.31;992;j
QA;tptinc992j;p94p100;1996;841166.31;992;j
QA;tptinc992j;p94p100;1997;1041436.6;992;j
QA;tptinc992j;p94p100;1998;1084750.5;992;j
QA;tptinc992j;p94p100;1999;1119654.9;992;j
QA;tptinc992j;p94p100;2000;1226988.0;992;j
QA;tptinc992j;p94p100;2001;1202518.6;992;j
QA;tptinc992j;p94p100;2002;1233267.3;992;j
QA;tptinc992j;p94p100;2003;1193822.4;992;j
QA;tptinc992j;p94p100;2004;1261902.5;992;j
QA;tptinc992j;p94p100;2005;1200400.1;992;j
QA;tptinc992j;p94p100;2006;1320489.1;992;j
QA;tptinc992j;p94p100;2007;1229243.8;992;j
QA;tptinc992j;p94p100;2008;1226404.9;992;j
QA;tptinc992j;p94p100;2009;1092798.5;992;j
QA;tptinc992j;p94p100;2010;941186.63;992;j
QA;tptinc992j;p94p100;2011;940784.63;992;j
QA;tptinc992j;p94p100;2012;866084.19;992;j
QA;tptinc992j;p94p100;2013;799625.13;992;j
QA;tptinc992j;p94p100;2014;742240.63;992;j
QA;tptinc992j;p94p100;2015;697583.0;992;j
QA;tptinc992j;p94p100;2016;689943.63;992;j
QA;tptinc992j;p93p94;1990;727467.81;992;j
QA;tptinc992j;p93p94;1991;692749.19;992;j
QA;tptinc992j;p93p94;1992;760481.19;992;j
QA;tptinc992j;p93p94;1993;730988.81;992;j
QA;tptinc992j;p93p94;1994;722926.5;992;j
QA;tptinc992j;p93p94;1995;718640.69;992;j
QA;tptinc992j;p93p94;1996;728223.81;992;j
QA;tptinc992j;p93p94;1997;898367.13;992;j
QA;tptinc992j;p93p94;1998;931057.88;992;j
QA;tptinc992j;p93p94;1999;958046.88;992;j
QA;tptinc992j;p93p94;2000;1051530.1;992;j
QA;tptinc992j;p93p94;2001;1035102.9;992;j
QA;tptinc992j;p93p94;2002;1067771.4;992;j
QA;tptinc992j;p93p94;2003;1041522.1;992;j
QA;tptinc992j;p93p94;2004;1110447.8;992;j
QA;tptinc992j;p93p94;2005;1087140.4;992;j
QA;tptinc992j;p93p94;2006;1103651.0;992;j
QA;tptinc992j;p93p94;2007;1079757.9;992;j
QA;tptinc992j;p93p94;2008;1029397.7;992;j
QA;tptinc992j;p93p94;2009;867317.88;992;j
QA;tptinc992j;p93p94;2010;739614.19;992;j
QA;tptinc992j;p93p94;2011;739935.0;992;j
QA;tptinc992j;p93p94;2012;687478.88;992;j
QA;tptinc992j;p93p94;2013;651654.38;992;j
QA;tptinc992j;p93p94;2014;618931.13;992;j
QA;tptinc992j;p93p94;2015;592824.69;992;j
QA;tptinc992j;p93p94;2016;586332.69;992;j
QA;tptinc992j;p93p100;1990;727467.81;992;j
QA;tptinc992j;p93p100;1991;692749.19;992;j
QA;tptinc992j;p93p100;1992;760481.19;992;j
QA;tptinc992j;p93p100;1993;730988.81;992;j
QA;tptinc992j;p93p100;1994;722926.5;992;j
QA;tptinc992j;p93p100;1995;718640.69;992;j
QA;tptinc992j;p93p100;1996;728223.81;992;j
QA;tptinc992j;p93p100;1997;898367.13;992;j
QA;tptinc992j;p93p100;1998;931057.88;992;j
QA;tptinc992j;p93p100;1999;958046.88;992;j
QA;tptinc992j;p93p100;2000;1051530.1;992;j
QA;tptinc992j;p93p100;2001;1035102.9;992;j
QA;tptinc992j;p93p100;2002;1067771.4;992;j
QA;tptinc992j;p93p100;2003;1041522.1;992;j
QA;tptinc992j;p93p100;2004;1110447.8;992;j
QA;tptinc992j;p93p100;2005;1087140.4;992;j
QA;tptinc992j;p93p100;2006;1103651.0;992;j
QA;tptinc992j;p93p100;2007;1079757.9;992;j
QA;tptinc992j;p93p100;2008;1029397.7;992;j
QA;tptinc992j;p93p100;2009;867317.88;992;j
QA;tptinc992j;p93p100;2010;739614.19;992;j
QA;tptinc992j;p93p100;2011;739935.0;992;j
QA;tptinc992j;p93p100;2012;687478.88;992;j
QA;tptinc992j;p93p100;2013;651654.38;992;j
QA;tptinc992j;p93p100;2014;618931.13;992;j
QA;tptinc992j;p93p100;2015;592824.69;992;j
QA;tptinc992j;p93p100;2016;586332.69;992;j
QA;tptinc992j;p92p93;1990;631970.31;992;j
QA;tptinc992j;p92p93;1991;600229.63;992;j
QA;tptinc992j;p92p93;1992;657945.5;992;j
QA;tptinc992j;p92p93;1993;633154.13;992;j
QA;tptinc992j;p92p93;1994;627327.13;992;j
QA;tptinc992j;p92p93;1995;625935.5;992;j
QA;tptinc992j;p92p93;1996;637449.31;992;j
QA;tptinc992j;p92p93;1997;790652.31;992;j
QA;tptinc992j;p92p93;1998;826417.88;992;j
QA;tptinc992j;p92p93;1999;858535.31;992;j
QA;tptinc992j;p92p93;2000;949105.69;992;j
QA;tptinc992j;p92p93;2001;939032.81;992;j
QA;tptinc992j;p92p93;2002;972788.5;992;j
QA;tptinc992j;p92p93;2003;951303.38;992;j
QA;tptinc992j;p92p93;2004;1014826.4;992;j
QA;tptinc992j;p92p93;2005;935289.0;992;j
QA;tptinc992j;p92p93;2006;969889.19;992;j
QA;tptinc992j;p92p93;2007;959389.0;992;j
QA;tptinc992j;p92p93;2008;810173.13;992;j
QA;tptinc992j;p92p93;2009;680761.5;992;j
QA;tptinc992j;p92p93;2010;617078.0;992;j
QA;tptinc992j;p92p93;2011;625905.5;992;j
QA;tptinc992j;p92p93;2012;588911.13;992;j
QA;tptinc992j;p92p93;2013;563043.38;992;j
QA;tptinc992j;p92p93;2014;538249.5;992;j
QA;tptinc992j;p92p93;2015;518481.09;992;j
QA;tptinc992j;p92p93;2016;512803.19;992;j
QA;tptinc992j;p92p100;1990;631970.31;992;j
QA;tptinc992j;p92p100;1991;600229.63;992;j
QA;tptinc992j;p92p100;1992;657945.5;992;j
QA;tptinc992j;p92p100;1993;633154.13;992;j
QA;tptinc992j;p92p100;1994;627327.13;992;j
QA;tptinc992j;p92p100;1995;625935.5;992;j
QA;tptinc992j;p92p100;1996;637449.31;992;j
QA;tptinc992j;p92p100;1997;790652.31;992;j
QA;tptinc992j;p92p100;1998;826417.88;992;j
QA;tptinc992j;p92p100;1999;858535.31;992;j
QA;tptinc992j;p92p100;2000;949105.69;992;j
QA;tptinc992j;p92p100;2001;939032.81;992;j
QA;tptinc992j;p92p100;2002;972788.5;992;j
QA;tptinc992j;p92p100;2003;951303.38;992;j
QA;tptinc992j;p92p100;2004;1014826.4;992;j
QA;tptinc992j;p92p100;2005;935289.0;992;j
QA;tptinc992j;p92p100;2006;969889.19;992;j
QA;tptinc992j;p92p100;2007;959389.0;992;j
QA;tptinc992j;p92p100;2008;810173.13;992;j
QA;tptinc992j;p92p100;2009;680761.5;992;j
QA;tptinc992j;p92p100;2010;617078.0;992;j
QA;tptinc992j;p92p100;2011;625905.5;992;j
QA;tptinc992j;p92p100;2012;588911.13;992;j
QA;tptinc992j;p92p100;2013;563043.38;992;j
QA;tptinc992j;p92p100;2014;538249.5;992;j
QA;tptinc992j;p92p100;2015;518481.09;992;j
QA;tptinc992j;p92p100;2016;512803.19;992;j
QA;tptinc992j;p91p92;1990;560975.81;992;j
QA;tptinc992j;p91p92;1991;536055.81;992;j
QA;tptinc992j;p91p92;1992;591362.81;992;j
QA;tptinc992j;p91p92;1993;572456.88;992;j
QA;tptinc992j;p91p92;1994;570115.13;992;j
QA;tptinc992j;p91p92;1995;571025.88;992;j
QA;tptinc992j;p91p92;1996;583102.63;992;j
QA;tptinc992j;p91p92;1997;724753.38;992;j
QA;tptinc992j;p91p92;1998;758779.81;992;j
QA;tptinc992j;p91p92;1999;788279.31;992;j
QA;tptinc992j;p91p92;2000;869796.19;992;j
QA;tptinc992j;p91p92;2001;858676.81;992;j
QA;tptinc992j;p91p92;2002;885712.81;992;j
QA;tptinc992j;p91p92;2003;859752.69;992;j
QA;tptinc992j;p91p92;2004;907382.88;992;j
QA;tptinc992j;p91p92;2005;808941.13;992;j
QA;tptinc992j;p91p92;2006;879211.69;992;j
QA;tptinc992j;p91p92;2007;758030.63;992;j
QA;tptinc992j;p91p92;2008;700783.81;992;j
QA;tptinc992j;p91p92;2009;534148.31;992;j
QA;tptinc992j;p91p92;2010;536266.81;992;j
QA;tptinc992j;p91p92;2011;546312.88;992;j
QA;tptinc992j;p91p92;2012;516577.31;992;j
QA;tptinc992j;p91p92;2013;495487.09;992;j
QA;tptinc992j;p91p92;2014;475135.59;992;j
QA;tptinc992j;p91p92;2015;458953.41;992;j
QA;tptinc992j;p91p92;2016;453927.41;992;j
QA;tptinc992j;p91p100;1990;560975.81;992;j
QA;tptinc992j;p91p100;1991;536055.81;992;j
QA;tptinc992j;p91p100;1992;591362.81;992;j
QA;tptinc992j;p91p100;1993;572456.88;992;j
QA;tptinc992j;p91p100;1994;570115.13;992;j
QA;tptinc992j;p91p100;1995;571025.88;992;j
QA;tptinc992j;p91p100;1996;583102.63;992;j
QA;tptinc992j;p91p100;1997;724753.38;992;j
QA;tptinc992j;p91p100;1998;758779.81;992;j
QA;tptinc992j;p91p100;1999;788279.31;992;j
QA;tptinc992j;p91p100;2000;869796.19;992;j
QA;tptinc992j;p91p100;2001;858676.81;992;j
QA;tptinc992j;p91p100;2002;885712.81;992;j
QA;tptinc992j;p91p100;2003;859752.69;992;j
QA;tptinc992j;p91p100;2004;907382.88;992;j
QA;tptinc992j;p91p100;2005;808941.13;992;j
QA;tptinc992j;p91p100;2006;879211.69;992;j
QA;tptinc992j;p91p100;2007;758030.63;992;j
QA;tptinc992j;p91p100;2008;700783.81;992;j
QA;tptinc992j;p91p100;2009;534148.31;992;j
QA;tptinc992j;p91p100;2010;536266.81;992;j
QA;tptinc992j;p91p100;2011;546312.88;992;j
QA;tptinc992j;p91p100;2012;516577.31;992;j
QA;tptinc992j;p91p100;2013;495487.09;992;j
QA;tptinc992j;p91p100;2014;475135.59;992;j
QA;tptinc992j;p91p100;2015;458953.41;992;j
QA;tptinc992j;p91p100;2016;453927.41;992;j
QA;tptinc992j;p90p99;1990;515735.91;992;j
QA;tptinc992j;p90p99;1991;493421.31;992;j
QA;tptinc992j;p90p99;1992;544685.81;992;j
QA;tptinc992j;p90p99;1993;527020.19;992;j
QA;tptinc992j;p90p99;1994;524514.5;992;j
QA;tptinc992j;p90p99;1995;524868.63;992;j
QA;tptinc992j;p90p99;1996;535021.63;992;j
QA;tptinc992j;p90p99;1997;663580.88;992;j
QA;tptinc992j;p90p99;1998;691962.5;992;j
QA;tptinc992j;p90p99;1999;712902.5;992;j
QA;tptinc992j;p90p99;2000;778419.0;992;j
QA;tptinc992j;p90p99;2001;757485.19;992;j
QA;tptinc992j;p90p99;2002;769488.63;992;j
QA;tptinc992j;p90p99;2003;739374.38;992;j
QA;tptinc992j;p90p99;2004;776943.19;992;j
QA;tptinc992j;p90p99;2005;736829.0;992;j
QA;tptinc992j;p90p99;2006;758224.88;992;j
QA;tptinc992j;p90p99;2007;653559.19;992;j
QA;tptinc992j;p90p99;2008;568640.0;992;j
QA;tptinc992j;p90p99;2009;458292.5;992;j
QA;tptinc992j;p90p99;2010;472970.69;992;j
QA;tptinc992j;p90p99;2011;483104.0;992;j
QA;tptinc992j;p90p99;2012;457301.09;992;j
QA;tptinc992j;p90p99;2013;439072.69;992;j
QA;tptinc992j;p90p99;2014;421806.81;992;j
QA;tptinc992j;p90p99;2015;408001.31;992;j
QA;tptinc992j;p90p99;2016;403533.31;992;j
QA;tptinc992j;p90p91;1990;515735.91;992;j
QA;tptinc992j;p90p91;1991;493421.31;992;j
QA;tptinc992j;p90p91;1992;544685.81;992;j
QA;tptinc992j;p90p91;1993;527020.19;992;j
QA;tptinc992j;p90p91;1994;524514.5;992;j
QA;tptinc992j;p90p91;1995;524868.63;992;j
QA;tptinc992j;p90p91;1996;535021.63;992;j
QA;tptinc992j;p90p91;1997;663580.88;992;j
QA;tptinc992j;p90p91;1998;691962.5;992;j
QA;tptinc992j;p90p91;1999;712902.5;992;j
QA;tptinc992j;p90p91;2000;778419.0;992;j
QA;tptinc992j;p90p91;2001;757485.19;992;j
QA;tptinc992j;p90p91;2002;769488.63;992;j
QA;tptinc992j;p90p91;2003;739374.38;992;j
QA;tptinc992j;p90p91;2004;776943.19;992;j
QA;tptinc992j;p90p91;2005;736829.0;992;j
QA;tptinc992j;p90p91;2006;758224.88;992;j
QA;tptinc992j;p90p91;2007;653559.19;992;j
QA;tptinc992j;p90p91;2008;568640.0;992;j
QA;tptinc992j;p90p91;2009;458292.5;992;j
QA;tptinc992j;p90p91;2010;472970.69;992;j
QA;tptinc992j;p90p91;2011;483104.0;992;j
QA;tptinc992j;p90p91;2012;457301.09;992;j
QA;tptinc992j;p90p91;2013;439072.69;992;j
QA;tptinc992j;p90p91;2014;421806.81;992;j
QA;tptinc992j;p90p91;2015;408001.31;992;j
QA;tptinc992j;p90p91;2016;403533.31;992;j
QA;tptinc992j;p90p100;1990;515735.91;992;j
QA;tptinc992j;p90p100;1991;493421.31;992;j
QA;tptinc992j;p90p100;1992;544685.81;992;j
QA;tptinc992j;p90p100;1993;527020.19;992;j
QA;tptinc992j;p90p100;1994;524514.5;992;j
QA;tptinc992j;p90p100;1995;524868.63;992;j
QA;tptinc992j;p90p100;1996;535021.63;992;j
QA;tptinc992j;p90p100;1997;663580.88;992;j
QA;tptinc992j;p90p100;1998;691962.5;992;j
QA;tptinc992j;p90p100;1999;712902.5;992;j
QA;tptinc992j;p90p100;2000;778419.0;992;j
QA;tptinc992j;p90p100;2001;757485.19;992;j
QA;tptinc992j;p90p100;2002;769488.63;992;j
QA;tptinc992j;p90p100;2003;739374.38;992;j
QA;tptinc992j;p90p100;2004;776943.19;992;j
QA;tptinc992j;p90p100;2005;736829.0;992;j
QA;tptinc992j;p90p100;2006;758224.88;992;j
QA;tptinc992j;p90p100;2007;653559.19;992;j
QA;tptinc992j;p90p100;2008;568640.0;992;j
QA;tptinc992j;p90p100;2009;458292.5;992;j
QA;tptinc992j;p90p100;2010;472970.69;992;j
QA;tptinc992j;p90p100;2011;483104.0;992;j
