country;variable;percentile;year;value;age;pop
DE-WU;sfiinc992t;p99.9p100;1904;0.0581;992;t
DE-WU;sfiinc992t;p99.9p100;1905;0.070200004;992;t
DE-WU;sfiinc992t;p99.9p100;1906;0.068300001;992;t
DE-WU;sfiinc992t;p99.9p100;1907;0.068300001;992;t
DE-WU;sfiinc992t;p99.9p100;1908;0.066799998;992;t
DE-WU;sfiinc992t;p99.9p100;1909;0.067199998;992;t
DE-WU;sfiinc992t;p99.9p100;1910;0.069799997;992;t
DE-WU;sfiinc992t;p99.9p100;1911;0.075400002;992;t
DE-WU;sfiinc992t;p99.9p100;1912;0.075400002;992;t
DE-WU;sfiinc992t;p99.99p100;1904;0.0178;992;t
DE-WU;sfiinc992t;p99.99p100;1905;0.0262;992;t
DE-WU;sfiinc992t;p99.99p100;1906;0.023499999;992;t
DE-WU;sfiinc992t;p99.99p100;1907;0.023499999;992;t
DE-WU;sfiinc992t;p99.99p100;1908;0.023499999;992;t
DE-WU;sfiinc992t;p99.99p100;1909;0.0233;992;t
DE-WU;sfiinc992t;p99.99p100;1910;0.024700001;992;t
DE-WU;sfiinc992t;p99.99p100;1911;0.028999999;992;t
DE-WU;sfiinc992t;p99.99p100;1912;0.028999999;992;t
DE-WU;sfiinc992t;p99.5p100;1904;0.1147;992;t
DE-WU;sfiinc992t;p99.5p100;1905;0.1278;992;t
DE-WU;sfiinc992t;p99.5p100;1906;0.1274;992;t
DE-WU;sfiinc992t;p99.5p100;1907;0.1274;992;t
DE-WU;sfiinc992t;p99.5p100;1908;0.1242;992;t
DE-WU;sfiinc992t;p99.5p100;1909;0.12530001;992;t
DE-WU;sfiinc992t;p99.5p100;1910;0.1295;992;t
DE-WU;sfiinc992t;p99.5p100;1911;0.1358;992;t
DE-WU;sfiinc992t;p99.5p100;1912;0.1358;992;t
DE-WU;sfiinc992t;p95p100;1904;0.29080001;992;t
DE-WU;sfiinc992t;p95p100;1905;0.30239999;992;t
DE-WU;sfiinc992t;p95p100;1906;0.30059999;992;t
DE-WU;sfiinc992t;p95p100;1907;0.30059999;992;t
DE-WU;sfiinc992t;p95p100;1908;0.2967;992;t
DE-WU;sfiinc992t;p95p100;1909;0.29589999;992;t
DE-WU;sfiinc992t;p95p100;1910;0.30140001;992;t
DE-WU;sfiinc992t;p95p100;1911;0.30599999;992;t
DE-WU;sfiinc992t;p95p100;1912;0.30599999;992;t
DE-WU;sfiinc992t;p90p100;1904;0.3933;992;t
DE-WU;sfiinc992t;p90p100;1905;0.403;992;t
DE-WU;sfiinc992t;p90p100;1906;0.3998;992;t
DE-WU;sfiinc992t;p90p100;1907;0.3998;992;t
DE-WU;sfiinc992t;p90p100;1908;0.39649999;992;t
DE-WU;sfiinc992t;p90p100;1909;0.39399999;992;t
DE-WU;sfiinc992t;p90p100;1910;0.3985;992;t
DE-WU;sfiinc992t;p90p100;1911;0.40200001;992;t
DE-WU;sfiinc992t;p90p100;1912;0.40200001;992;t
