country;variable;percentile;year;value;age;pop
TR;xlcyux999i;p0p100;1960;3.6627e-06;999;i
TR;xlcyux999i;p0p100;1961;3.664e-06;999;i
TR;xlcyux999i;p0p100;1962;3.664e-06;999;i
TR;xlcyux999i;p0p100;1963;3.664e-06;999;i
TR;xlcyux999i;p0p100;1964;3.6718e-06;999;i
TR;xlcyux999i;p0p100;1965;3.6721e-06;999;i
TR;xlcyux999i;p0p100;1966;3.6721e-06;999;i
TR;xlcyux999i;p0p100;1967;3.6721e-06;999;i
TR;xlcyux999i;p0p100;1968;3.6721e-06;999;i
TR;xlcyux999i;p0p100;1969;3.6721e-06;999;i
TR;xlcyux999i;p0p100;1970;4.6017e-06;999;i
TR;xlcyux999i;p0p100;1971;6.0389e-06;999;i
TR;xlcyux999i;p0p100;1972;6.3027e-06;999;i
TR;xlcyux999i;p0p100;1973;7.1126e-06;999;i
TR;xlcyux999i;p0p100;1974;7.1016e-06;999;i
TR;xlcyux999i;p0p100;1975;7.7653e-06;999;i
TR;xlcyux999i;p0p100;1976;8.2688e-06;999;i
TR;xlcyux999i;p0p100;1977;9.69e-06;999;i
TR;xlcyux999i;p0p100;1978;1.44229e-05;999;i
TR;xlcyux999i;p0p100;1979;1.99863e-05;999;i
TR;xlcyux999i;p0p100;1980;5.07467e-05;999;i
TR;xlcyux999i;p0p100;1981;6.52484e-05;999;i
TR;xlcyux999i;p0p100;1982;8.58916e-05;999;i
TR;xlcyux999i;p0p100;1983;0.0001141165;999;i
TR;xlcyux999i;p0p100;1984;0.0001580479;999;i
TR;xlcyux999i;p0p100;1985;0.0001777473;999;i
TR;xlcyux999i;p0p100;1986;0.0001953526;999;i
TR;xlcyux999i;p0p100;1987;0.0002303039;999;i
TR;xlcyux999i;p0p100;1988;0.0003821353;999;i
TR;xlcyux999i;p0p100;1989;0.0005635108;999;i
TR;xlcyux999i;p0p100;1990;0.0005453749;999;i
TR;xlcyux999i;p0p100;1991;0.0007836763;999;i
TR;xlcyux999i;p0p100;1992;0.0012462252;999;i
TR;xlcyux999i;p0p100;1993;0.0019064054;999;i
TR;xlcyux999i;p0p100;1994;0.0034353822;999;i
TR;xlcyux999i;p0p100;1995;0.0054894951;999;i
TR;xlcyux999i;p0p100;1996;0.0097910976;999;i
TR;xlcyux999i;p0p100;1997;0.018319465;999;i
TR;xlcyux999i;p0p100;1998;0.031492397;999;i
TR;xlcyux999i;p0p100;1999;0.05058834;999;i
TR;xlcyux999i;p0p100;2000;0.075523123;999;i
TR;xlcyux999i;p0p100;2001;0.14807032;999;i
TR;xlcyux999i;p0p100;2002;0.18209909;999;i
TR;xlcyux999i;p0p100;2003;0.18133123;999;i
TR;xlcyux999i;p0p100;2004;0.17223287;999;i
TR;xlcyux999i;p0p100;2005;0.16396524;999;i
TR;xlcyux999i;p0p100;2006;0.17915151;999;i
TR;xlcyux999i;p0p100;2007;0.17126854;999;i
TR;xlcyux999i;p0p100;2008;0.18730555;999;i
TR;xlcyux999i;p0p100;2009;0.22688703;999;i
TR;xlcyux999i;p0p100;2010;0.22197768;999;i
TR;xlcyux999i;p0p100;2011;0.25922224;999;i
TR;xlcyux999i;p0p100;2012;0.28452253;999;i
TR;xlcyux999i;p0p100;2013;0.30726963;999;i
TR;xlcyux999i;p0p100;2014;0.35624087;999;i
TR;xlcyux999i;p0p100;2015;0.43677458;999;i
TR;xlcyux999i;p0p100;2016;0.45453304;999;i
TR;xlcyux999i;p0p100;2017;0.53976399;999;i
TR;xlcyux999i;p0p100;2018;0.59199595;999;i
TR;xlcyup999i;p0p100;1960;2.494e-06;999;i
TR;xlcyup999i;p0p100;1961;2.1114e-06;999;i
TR;xlcyup999i;p0p100;1962;2.5221e-06;999;i
TR;xlcyup999i;p0p100;1963;2.8641e-06;999;i
TR;xlcyup999i;p0p100;1964;2.8522e-06;999;i
TR;xlcyup999i;p0p100;1965;2.7785e-06;999;i
TR;xlcyup999i;p0p100;1966;2.9184e-06;999;i
TR;xlcyup999i;p0p100;1967;3.01e-06;999;i
TR;xlcyup999i;p0p100;1968;3.1215e-06;999;i
TR;xlcyup999i;p0p100;1969;3.3483e-06;999;i
TR;xlcyup999i;p0p100;1970;3.5635e-06;999;i
TR;xlcyup999i;p0p100;1971;4.0476e-06;999;i
TR;xlcyup999i;p0p100;1972;4.4952e-06;999;i
TR;xlcyup999i;p0p100;1973;5.3636e-06;999;i
TR;xlcyup999i;p0p100;1974;6.8409e-06;999;i
TR;xlcyup999i;p0p100;1975;8.1747e-06;999;i
TR;xlcyup999i;p0p100;1976;9.0343e-06;999;i
TR;xlcyup999i;p0p100;1977;1.10303e-05;999;i
TR;xlcyup999i;p0p100;1978;1.58017e-05;999;i
TR;xlcyup999i;p0p100;1979;2.65035e-05;999;i
TR;xlcyup999i;p0p100;1980;4.68638e-05;999;i
TR;xlcyup999i;p0p100;1981;6.65612e-05;999;i
TR;xlcyup999i;p0p100;1982;8.41791e-05;999;i
TR;xlcyup999i;p0p100;1983;0.0001051415;999;i
TR;xlcyup999i;p0p100;1984;0.0001578848;999;i
TR;xlcyup999i;p0p100;1985;0.0002361063;999;i
TR;xlcyup999i;p0p100;1986;0.0003043105;999;i
TR;xlcyup999i;p0p100;1987;0.0003800411;999;i
TR;xlcyup999i;p0p100;1988;0.0005567005;999;i
TR;xlcyup999i;p0p100;1989;0.0008241938;999;i
TR;xlcyup999i;p0p100;1990;0.0011511989;999;i
TR;xlcyup999i;p0p100;1991;0.0017633403;999;i
TR;xlcyup999i;p0p100;1992;0.0026354059;999;i
TR;xlcyup999i;p0p100;1993;0.0034846049;999;i
TR;xlcyup999i;p0p100;1994;0.0056784721;999;i
TR;xlcyup999i;p0p100;1995;0.0088762818;999;i
TR;xlcyup999i;p0p100;1996;0.014293281;999;i
TR;xlcyup999i;p0p100;1997;0.024367083;999;i
TR;xlcyup999i;p0p100;1998;0.042500876;999;i
TR;xlcyup999i;p0p100;1999;0.064833924;999;i
TR;xlcyup999i;p0p100;2000;0.090688951;999;i
TR;xlcyup999i;p0p100;2001;0.13624449;999;i
TR;xlcyup999i;p0p100;2002;0.18734096;999;i
TR;xlcyup999i;p0p100;2003;0.22332062;999;i
TR;xlcyup999i;p0p100;2004;0.23549606;999;i
TR;xlcyup999i;p0p100;2005;0.24195416;999;i
TR;xlcyup999i;p0p100;2006;0.25594497;999;i
TR;xlcyup999i;p0p100;2007;0.25284559;999;i
TR;xlcyup999i;p0p100;2008;0.26277348;999;i
TR;xlcyup999i;p0p100;2009;0.28098568;999;i
TR;xlcyup999i;p0p100;2010;0.2812517;999;i
TR;xlcyup999i;p0p100;2011;0.28155464;999;i
TR;xlcyup999i;p0p100;2012;0.29798082;999;i
TR;xlcyup999i;p0p100;2013;0.31065422;999;i
TR;xlcyup999i;p0p100;2014;0.33217508;999;i
TR;xlcyup999i;p0p100;2015;0.36036569;999;i
TR;xlcyup999i;p0p100;2016;0.39193228;999;i
TR;xlcyup999i;p0p100;2017;0.43708986;999;i
TR;xlcyup999i;p0p100;2018;0.51080465;999;i
TR;xlcusx999i;p0p100;1960;9.0169e-06;999;i
TR;xlcusx999i;p0p100;1961;9.02e-06;999;i
TR;xlcusx999i;p0p100;1962;9.02e-06;999;i
TR;xlcusx999i;p0p100;1963;9.02e-06;999;i
TR;xlcusx999i;p0p100;1964;9.0392e-06;999;i
TR;xlcusx999i;p0p100;1965;9.04e-06;999;i
TR;xlcusx999i;p0p100;1966;9.04e-06;999;i
TR;xlcusx999i;p0p100;1967;9.04e-06;999;i
TR;xlcusx999i;p0p100;1968;9.04e-06;999;i
TR;xlcusx999i;p0p100;1969;9.04e-06;999;i
TR;xlcusx999i;p0p100;1970;1.13285e-05;999;i
TR;xlcusx999i;p0p100;1971;1.48667e-05;999;i
TR;xlcusx999i;p0p100;1972;1.415e-05;999;i
TR;xlcusx999i;p0p100;1973;1.415e-05;999;i
TR;xlcusx999i;p0p100;1974;1.39271e-05;999;i
TR;xlcusx999i;p0p100;1975;1.44421e-05;999;i
TR;xlcusx999i;p0p100;1976;1.60531e-05;999;i
TR;xlcusx999i;p0p100;1977;1.80023e-05;999;i
TR;xlcusx999i;p0p100;1978;2.42822e-05;999;i
TR;xlcusx999i;p0p100;1979;3.10775e-05;999;i
TR;xlcusx999i;p0p100;1980;7.60381e-05;999;i
TR;xlcusx999i;p0p100;1981;0.0001112186;999;i
TR;xlcusx999i;p0p100;1982;0.0001625534;999;i
TR;xlcusx999i;p0p100;1983;0.0002254571;999;i
TR;xlcusx999i;p0p100;1984;0.0003666778;999;i
TR;xlcusx999i;p0p100;1985;0.0005219831;999;i
TR;xlcusx999i;p0p100;1986;0.0006745118;999;i
TR;xlcusx999i;p0p100;1987;0.0008572142;999;i
TR;xlcusx999i;p0p100;1988;0.0014223459;999;i
TR;xlcusx999i;p0p100;1989;0.0021216793;999;i
TR;xlcusx999i;p0p100;1990;0.0026086417;999;i
TR;xlcusx999i;p0p100;1991;0.0041718157;999;i
TR;xlcusx999i;p0p100;1992;0.0068724235;999;i
TR;xlcusx999i;p0p100;1993;0.010984628;999;i
TR;xlcusx999i;p0p100;1994;0.029608676;999;i
TR;xlcusx999i;p0p100;1995;0.045845062;999;i
TR;xlcusx999i;p0p100;1996;0.081404895;999;i
TR;xlcusx999i;p0p100;1997;0.15186501;999;i
TR;xlcusx999i;p0p100;1998;0.26072425;999;i
TR;xlcusx999i;p0p100;1999;0.41878292;999;i
TR;xlcusx999i;p0p100;2000;0.62521851;999;i
TR;xlcusx999i;p0p100;2001;1.2255881;999;i
TR;xlcusx999i;p0p100;2002;1.5072265;999;i
TR;xlcusx999i;p0p100;2003;1.5008852;999;i
TR;xlcusx999i;p0p100;2004;1.4255372;999;i
TR;xlcusx999i;p0p100;2005;1.3435831;999;i
TR;xlcusx999i;p0p100;2006;1.4284534;999;i
TR;xlcusx999i;p0p100;2007;1.302931;999;i
TR;xlcusx999i;p0p100;2008;1.3015217;999;i
TR;xlcusx999i;p0p100;2009;1.5499598;999;i
TR;xlcusx999i;p0p100;2010;1.5028486;999;i
TR;xlcusx999i;p0p100;2011;1.6749545;999;i
TR;xlcusx999i;p0p100;2012;1.796001;999;i
TR;xlcusx999i;p0p100;2013;1.9037683;999;i
TR;xlcusx999i;p0p100;2014;2.1885424;999;i
TR;xlcusx999i;p0p100;2015;2.7200086;999;i
TR;xlcusx999i;p0p100;2016;3.0201347;999;i
TR;xlcusx999i;p0p100;2017;3.6481326;999;i
TR;xlcusx999i;p0p100;2018;3.7787571;999;i
TR;xlcusp999i;p0p100;1960;4.2339e-06;999;i
TR;xlcusp999i;p0p100;1961;4.3653e-06;999;i
TR;xlcusp999i;p0p100;1962;4.5574e-06;999;i
TR;xlcusp999i;p0p100;1963;4.7917e-06;999;i
TR;xlcusp999i;p0p100;1964;4.8249e-06;999;i
TR;xlcusp999i;p0p100;1965;4.9293e-06;999;i
TR;xlcusp999i;p0p100;1966;5.0755e-06;999;i
TR;xlcusp999i;p0p100;1967;5.2226e-06;999;i
TR;xlcusp999i;p0p100;1968;5.2448e-06;999;i
TR;xlcusp999i;p0p100;1969;5.341e-06;999;i
TR;xlcusp999i;p0p100;1970;5.5096e-06;999;i
TR;xlcusp999i;p0p100;1971;6.1485e-06;999;i
TR;xlcusp999i;p0p100;1972;6.5599e-06;999;i
TR;xlcusp999i;p0p100;1973;7.5635e-06;999;i
TR;xlcusp999i;p0p100;1974;8.9516e-06;999;i
TR;xlcusp999i;p0p100;1975;9.9378e-06;999;i
TR;xlcusp999i;p0p100;1976;1.08477e-05;999;i
TR;xlcusp999i;p0p100;1977;1.26497e-05;999;i
TR;xlcusp999i;p0p100;1978;1.73589e-05;999;i
TR;xlcusp999i;p0p100;1979;2.82071e-05;999;i
TR;xlcusp999i;p0p100;1980;4.87153e-05;999;i
TR;xlcusp999i;p0p100;1981;6.41623e-05;999;i
TR;xlcusp999i;p0p100;1982;7.7531e-05;999;i
TR;xlcusp999i;p0p100;1983;9.37551e-05;999;i
TR;xlcusp999i;p0p100;1984;0.0001337699;999;i
TR;xlcusp999i;p0p100;1985;0.0001978177;999;i
TR;xlcusp999i;p0p100;1986;0.0002636352;999;i
TR;xlcusp999i;p0p100;1987;0.0003433121;999;i
TR;xlcusp999i;p0p100;1988;0.000561202;999;i
TR;xlcusp999i;p0p100;1989;0.0009457191;999;i
TR;xlcusp999i;p0p100;1990;0.0014390985;999;i
TR;xlcusp999i;p0p100;1991;0.0022068869;999;i
TR;xlcusp999i;p0p100;1992;0.0035213169;999;i
TR;xlcusp999i;p0p100;1993;0.005761975;999;i
TR;xlcusp999i;p0p100;1994;0.0116405;999;i
TR;xlcusp999i;p0p100;1995;0.02135008;999;i
TR;xlcusp999i;p0p100;1996;0.037198454;999;i
TR;xlcusp999i;p0p100;1997;0.066240519;999;i
TR;xlcusp999i;p0p100;1998;0.11487869;999;i
TR;xlcusp999i;p0p100;1999;0.17448804;999;i
TR;xlcusp999i;p0p100;2000;0.2545819;999;i
TR;xlcusp999i;p0p100;2001;0.37977549;999;i
TR;xlcusp999i;p0p100;2002;0.51335257;999;i
TR;xlcusp999i;p0p100;2003;0.61940485;999;i
TR;xlcusp999i;p0p100;2004;0.67754626;999;i
TR;xlcusp999i;p0p100;2005;0.70419896;999;i
TR;xlcusp999i;p0p100;2006;0.74800718;999;i
TR;xlcusp999i;p0p100;2007;0.77328891;999;i
TR;xlcusp999i;p0p100;2008;0.84921306;999;i
TR;xlcusp999i;p0p100;2009;0.88489062;999;i
TR;xlcusp999i;p0p100;2010;0.93202412;999;i
TR;xlcusp999i;p0p100;2011;0.98699999;999;i
TR;xlcusp999i;p0p100;2012;1.0404118;999;i
TR;xlcusp999i;p0p100;2013;1.0879321;999;i
TR;xlcusp999i;p0p100;2014;1.1488395;999;i
TR;xlcusp999i;p0p100;2015;1.2252015;999;i
TR;xlcusp999i;p0p100;2016;1.3100951;999;i
TR;xlcusp999i;p0p100;2017;1.4250693;999;i
TR;xlcusp999i;p0p100;2018;1.6187701;999;i
TR;xlceux999i;p0p100;1999;0.44616529;999;i
TR;xlceux999i;p0p100;2000;0.57602549;999;i
TR;xlceux999i;p0p100;2001;1.0967133;999;i
TR;xlceux999i;p0p100;2002;1.4184972;999;i
TR;xlceux999i;p0p100;2003;1.693936;999;i
TR;xlceux999i;p0p100;2004;1.7700511;999;i
TR;xlceux999i;p0p100;2005;1.6708739;999;i
TR;xlceux999i;p0p100;2006;1.7919712;999;i
TR;xlceux999i;p0p100;2007;1.7832797;999;i
TR;xlceux999i;p0p100;2008;1.9065034;999;i
TR;xlceux999i;p0p100;2009;2.1531904;999;i
TR;xlceux999i;p0p100;2010;1.9904095;999;i
TR;xlceux999i;p0p100;2011;2.3284109;999;i
TR;xlceux999i;p0p100;2012;2.3076136;999;i
TR;xlceux999i;p0p100;2013;2.5277104;999;i
TR;xlceux999i;p0p100;2014;2.9036131;999;i
TR;xlceux999i;p0p100;2015;3.0166712;999;i
TR;xlceux999i;p0p100;2016;3.3407271;999;i
TR;xlceux999i;p0p100;2017;4.1110473;999;i
TR;xlceux999i;p0p100;2018;4.6320968;999;i
TR;xlceup999i;p0p100;1995;0.025362078;999;i
TR;xlceup999i;p0p100;1996;0.04396053;999;i
TR;xlceup999i;p0p100;1997;0.079973623;999;i
TR;xlceup999i;p0p100;1998;0.13903986;999;i
TR;xlceup999i;p0p100;1999;0.211098;999;i
TR;xlceup999i;p0p100;2000;0.3108415;999;i
TR;xlceup999i;p0p100;2001;0.46399549;999;i
TR;xlceup999i;p0p100;2002;0.62296486;999;i
TR;xlceup999i;p0p100;2003;0.75164813;999;i
TR;xlceup999i;p0p100;2004;0.82933927;999;i
TR;xlceup999i;p0p100;2005;0.87154883;999;i
TR;xlceup999i;p0p100;2006;0.93485272;999;i
TR;xlceup999i;p0p100;2007;0.96915179;999;i
TR;xlceup999i;p0p100;2008;1.0639586;999;i
TR;xlceup999i;p0p100;2009;1.1107256;999;i
TR;xlceup999i;p0p100;2010;1.1808311;999;i
TR;xlceup999i;p0p100;2011;1.2647538;999;i
TR;xlceup999i;p0p100;2012;1.341301;999;i
TR;xlceup999i;p0p100;2013;1.4080887;999;i
TR;xlceup999i;p0p100;2014;1.4989572;999;i
TR;xlceup999i;p0p100;2015;1.5938762;999;i
TR;xlceup999i;p0p100;2016;1.7078422;999;i
TR;xlceup999i;p0p100;2017;1.8732455;999;i
TR;xlceup999i;p0p100;2018;2.1462908;999;i
TR;sptinc992j;p9p100;1990;0.99830002;992;j
TR;sptinc992j;p9p100;1991;0.99830002;992;j
TR;sptinc992j;p9p100;1992;0.99830002;992;j
TR;sptinc992j;p9p100;1993;0.99830002;992;j
TR;sptinc992j;p9p100;1994;0.99830002;992;j
TR;sptinc992j;p9p100;1995;0.99830002;992;j
TR;sptinc992j;p9p100;1996;0.99830002;992;j
TR;sptinc992j;p9p100;1997;0.99830002;992;j
TR;sptinc992j;p9p100;1998;0.98979998;992;j
TR;sptinc992j;p9p100;1999;0.98979998;992;j
TR;sptinc992j;p9p100;2000;0.98979998;992;j
TR;sptinc992j;p9p100;2001;0.98979998;992;j
TR;sptinc992j;p9p100;2002;0.98979998;992;j
TR;sptinc992j;p9p100;2003;0.98909998;992;j
TR;sptinc992j;p9p100;2004;0.9896;992;j
TR;sptinc992j;p9p100;2005;0.9896;992;j
TR;sptinc992j;p9p100;2006;0.98769999;992;j
TR;sptinc992j;p9p100;2007;0.98769999;992;j
TR;sptinc992j;p9p100;2008;0.98790002;992;j
TR;sptinc992j;p9p100;2009;0.98869997;992;j
TR;sptinc992j;p9p100;2010;0.98769999;992;j
TR;sptinc992j;p9p100;2011;0.98809999;992;j
TR;sptinc992j;p9p100;2012;0.98720002;992;j
TR;sptinc992j;p9p100;2013;0.98650002;992;j
TR;sptinc992j;p9p100;2014;0.99169999;992;j
TR;sptinc992j;p9p100;2015;0.99180001;992;j
TR;sptinc992j;p9p100;2016;0.99190003;992;j
TR;sptinc992j;p9p10;1990;0.0007;992;j
TR;sptinc992j;p9p10;1991;0.0007;992;j
TR;sptinc992j;p9p10;1992;0.0007;992;j
TR;sptinc992j;p9p10;1993;0.0007;992;j
TR;sptinc992j;p9p10;1994;0.0007;992;j
TR;sptinc992j;p9p10;1995;0.0007;992;j
TR;sptinc992j;p9p10;1996;0.0007;992;j
TR;sptinc992j;p9p10;1997;0.0007;992;j
TR;sptinc992j;p9p10;1998;0.0017;992;j
TR;sptinc992j;p9p10;1999;0.0017;992;j
TR;sptinc992j;p9p10;2000;0.0017;992;j
TR;sptinc992j;p9p10;2001;0.0017;992;j
TR;sptinc992j;p9p10;2002;0.0017;992;j
TR;sptinc992j;p9p10;2003;0.0018;992;j
TR;sptinc992j;p9p10;2004;0.0017;992;j
TR;sptinc992j;p9p10;2005;0.0018;992;j
TR;sptinc992j;p9p10;2006;0.0020000001;992;j
TR;sptinc992j;p9p10;2007;0.0020000001;992;j
TR;sptinc992j;p9p10;2008;0.0020000001;992;j
TR;sptinc992j;p9p10;2009;0.0019;992;j
TR;sptinc992j;p9p10;2010;0.0020000001;992;j
TR;sptinc992j;p9p10;2011;0.0020000001;992;j
TR;sptinc992j;p9p10;2012;0.0020999999;992;j
TR;sptinc992j;p9p10;2013;0.0022;992;j
TR;sptinc992j;p9p10;2014;0.0020000001;992;j
TR;sptinc992j;p9p10;2015;0.0020000001;992;j
TR;sptinc992j;p9p10;2016;0.0019;992;j
TR;sptinc992j;p99p99.1;1990;0.0099999998;992;j
TR;sptinc992j;p99p99.1;1991;0.0099999998;992;j
TR;sptinc992j;p99p99.1;1992;0.0099999998;992;j
TR;sptinc992j;p99p99.1;1993;0.0099999998;992;j
TR;sptinc992j;p99p99.1;1994;0.0099999998;992;j
TR;sptinc992j;p99p99.1;1995;0.0099999998;992;j
TR;sptinc992j;p99p99.1;1996;0.0099999998;992;j
TR;sptinc992j;p99p99.1;1997;0.0099999998;992;j
TR;sptinc992j;p99p99.1;1998;0.0093999999;992;j
TR;sptinc992j;p99p99.1;1999;0.0093999999;992;j
TR;sptinc992j;p99p99.1;2000;0.0093999999;992;j
TR;sptinc992j;p99p99.1;2001;0.0093999999;992;j
TR;sptinc992j;p99p99.1;2002;0.0093999999;992;j
TR;sptinc992j;p99p99.1;2003;0.0093999999;992;j
TR;sptinc992j;p99p99.1;2004;0.0083999997;992;j
TR;sptinc992j;p99p99.1;2005;0.0082;992;j
TR;sptinc992j;p99p99.1;2006;0.0082;992;j
TR;sptinc992j;p99p99.1;2007;0.0077;992;j
TR;sptinc992j;p99p99.1;2008;0.0077;992;j
TR;sptinc992j;p99p99.1;2009;0.0088;992;j
TR;sptinc992j;p99p99.1;2010;0.0082;992;j
TR;sptinc992j;p99p99.1;2011;0.0082999999;992;j
TR;sptinc992j;p99p99.1;2012;0.0078999996;992;j
TR;sptinc992j;p99p99.1;2013;0.0077999998;992;j
TR;sptinc992j;p99p99.1;2014;0.0082;992;j
TR;sptinc992j;p99p99.1;2015;0.0082999999;992;j
TR;sptinc992j;p99p99.1;2016;0.0083999997;992;j
TR;sptinc992j;p99p100;1990;0.28259999;992;j
TR;sptinc992j;p99p100;1991;0.28259999;992;j
TR;sptinc992j;p99p100;1992;0.28259999;992;j
TR;sptinc992j;p99p100;1993;0.28259999;992;j
TR;sptinc992j;p99p100;1994;0.28259999;992;j
TR;sptinc992j;p99p100;1995;0.28259999;992;j
TR;sptinc992j;p99p100;1996;0.28259999;992;j
TR;sptinc992j;p99p100;1997;0.28259999;992;j
TR;sptinc992j;p99p100;1998;0.2245;992;j
TR;sptinc992j;p99p100;1999;0.2245;992;j
TR;sptinc992j;p99p100;2000;0.2245;992;j
TR;sptinc992j;p99p100;2001;0.2245;992;j
TR;sptinc992j;p99p100;2002;0.2245;992;j
TR;sptinc992j;p99p100;2003;0.21969999;992;j
TR;sptinc992j;p99p100;2004;0.2146;992;j
TR;sptinc992j;p99p100;2005;0.18889999;992;j
TR;sptinc992j;p99p100;2006;0.1796;992;j
TR;sptinc992j;p99p100;2007;0.1736;992;j
TR;sptinc992j;p99p100;2008;0.18269999;992;j
TR;sptinc992j;p99p100;2009;0.1938;992;j
TR;sptinc992j;p99p100;2010;0.199;992;j
TR;sptinc992j;p99p100;2011;0.1928;992;j
TR;sptinc992j;p99p100;2012;0.1978;992;j
TR;sptinc992j;p99p100;2013;0.1902;992;j
TR;sptinc992j;p99p100;2014;0.2098;992;j
TR;sptinc992j;p99p100;2015;0.2154;992;j
TR;sptinc992j;p99p100;2016;0.2344;992;j
TR;sptinc992j;p99.9p99.91;1990;0.0041;992;j
TR;sptinc992j;p99.9p99.91;1991;0.0041;992;j
TR;sptinc992j;p99.9p99.91;1992;0.0041;992;j
TR;sptinc992j;p99.9p99.91;1993;0.0041;992;j
TR;sptinc992j;p99.9p99.91;1994;0.0041;992;j
TR;sptinc992j;p99.9p99.91;1995;0.0041;992;j
TR;sptinc992j;p99.9p99.91;1996;0.0041;992;j
TR;sptinc992j;p99.9p99.91;1997;0.0041;992;j
TR;sptinc992j;p99.9p99.91;1998;0.0035999999;992;j
TR;sptinc992j;p99.9p99.91;1999;0.0035999999;992;j
TR;sptinc992j;p99.9p99.91;2000;0.0035999999;992;j
TR;sptinc992j;p99.9p99.91;2001;0.0035999999;992;j
TR;sptinc992j;p99.9p99.91;2002;0.0035999999;992;j
TR;sptinc992j;p99.9p99.91;2003;0.0035000001;992;j
TR;sptinc992j;p99.9p99.91;2004;0.0034;992;j
TR;sptinc992j;p99.9p99.91;2005;0.003;992;j
TR;sptinc992j;p99.9p99.91;2006;0.0027999999;992;j
TR;sptinc992j;p99.9p99.91;2007;0.0026;992;j
TR;sptinc992j;p99.9p99.91;2008;0.0027000001;992;j
TR;sptinc992j;p99.9p99.91;2009;0.0031999999;992;j
TR;sptinc992j;p99.9p99.91;2010;0.0031000001;992;j
TR;sptinc992j;p99.9p99.91;2011;0.003;992;j
TR;sptinc992j;p99.9p99.91;2012;0.003;992;j
TR;sptinc992j;p99.9p99.91;2013;0.0027999999;992;j
TR;sptinc992j;p99.9p99.91;2014;0.0031999999;992;j
TR;sptinc992j;p99.9p99.91;2015;0.0033;992;j
TR;sptinc992j;p99.9p99.91;2016;0.0035000001;992;j
TR;sptinc992j;p99.9p100;1990;0.1336;992;j
TR;sptinc992j;p99.9p100;1991;0.1336;992;j
TR;sptinc992j;p99.9p100;1992;0.1336;992;j
TR;sptinc992j;p99.9p100;1993;0.1336;992;j
TR;sptinc992j;p99.9p100;1994;0.1336;992;j
TR;sptinc992j;p99.9p100;1995;0.1336;992;j
TR;sptinc992j;p99.9p100;1996;0.1336;992;j
TR;sptinc992j;p99.9p100;1997;0.1336;992;j
TR;sptinc992j;p99.9p100;1998;0.0911;992;j
TR;sptinc992j;p99.9p100;1999;0.0911;992;j
TR;sptinc992j;p99.9p100;2000;0.0911;992;j
TR;sptinc992j;p99.9p100;2001;0.0911;992;j
TR;sptinc992j;p99.9p100;2002;0.0911;992;j
TR;sptinc992j;p99.9p100;2003;0.085600004;992;j
TR;sptinc992j;p99.9p100;2004;0.093000002;992;j
TR;sptinc992j;p99.9p100;2005;0.075400002;992;j
TR;sptinc992j;p99.9p100;2006;0.0669;992;j
TR;sptinc992j;p99.9p100;2007;0.071000002;992;j
TR;sptinc992j;p99.9p100;2008;0.0788;992;j
TR;sptinc992j;p99.9p100;2009;0.068899997;992;j
TR;sptinc992j;p99.9p100;2010;0.082500003;992;j
TR;sptinc992j;p99.9p100;2011;0.076399997;992;j
TR;sptinc992j;p99.9p100;2012;0.086800002;992;j
TR;sptinc992j;p99.9p100;2013;0.083700001;992;j
TR;sptinc992j;p99.9p100;2014;0.094099998;992;j
TR;sptinc992j;p99.9p100;2015;0.097599998;992;j
TR;sptinc992j;p99.9p100;2016;0.1116;992;j
TR;sptinc992j;p99.99p99.991;1990;0.0023000001;992;j
TR;sptinc992j;p99.99p99.991;1991;0.0023000001;992;j
TR;sptinc992j;p99.99p99.991;1992;0.0023000001;992;j
TR;sptinc992j;p99.99p99.991;1993;0.0023000001;992;j
TR;sptinc992j;p99.99p99.991;1994;0.0023000001;992;j
TR;sptinc992j;p99.99p99.991;1995;0.0023000001;992;j
TR;sptinc992j;p99.99p99.991;1996;0.0023000001;992;j
TR;sptinc992j;p99.99p99.991;1997;0.0023000001;992;j
TR;sptinc992j;p99.99p99.991;1998;0.0015;992;j
TR;sptinc992j;p99.99p99.991;1999;0.0015;992;j
TR;sptinc992j;p99.99p99.991;2000;0.0015;992;j
TR;sptinc992j;p99.99p99.991;2001;0.0015;992;j
TR;sptinc992j;p99.99p99.991;2002;0.0015;992;j
TR;sptinc992j;p99.99p99.991;2003;0.0014;992;j
TR;sptinc992j;p99.99p99.991;2004;0.0015;992;j
TR;sptinc992j;p99.99p99.991;2005;0.0012000001;992;j
TR;sptinc992j;p99.99p99.991;2006;0.0011;992;j
TR;sptinc992j;p99.99p99.991;2007;0.0012000001;992;j
TR;sptinc992j;p99.99p99.991;2008;0.0013;992;j
TR;sptinc992j;p99.99p99.991;2009;0.0011;992;j
TR;sptinc992j;p99.99p99.991;2010;0.0014;992;j
TR;sptinc992j;p99.99p99.991;2011;0.0013;992;j
TR;sptinc992j;p99.99p99.991;2012;0.0014;992;j
TR;sptinc992j;p99.99p99.991;2013;0.0013;992;j
TR;sptinc992j;p99.99p99.991;2014;0.0015;992;j
TR;sptinc992j;p99.99p99.991;2015;0.0016;992;j
TR;sptinc992j;p99.99p99.991;2016;0.0018;992;j
TR;sptinc992j;p99.99p100;1990;0.066100001;992;j
TR;sptinc992j;p99.99p100;1991;0.066100001;992;j
TR;sptinc992j;p99.99p100;1992;0.066100001;992;j
TR;sptinc992j;p99.99p100;1993;0.066100001;992;j
