country;variable;percentile;year;value;age;pop
DE-HH;sptinc992t;p90p100;1890;0.5923;992;t
DE-HH;sptinc992t;p90p100;1891;0.57929999;992;t
DE-HH;sptinc992t;p90p100;1892;0.57179999;992;t
DE-HH;sptinc992t;p90p100;1893;0.56419998;992;t
DE-HH;sptinc992t;p90p100;1894;0.54640001;992;t
DE-HH;sptinc992t;p90p100;1895;0.55379999;992;t
DE-HH;sptinc992t;p90p100;1896;0.55119997;992;t
DE-HH;sptinc992t;p90p100;1897;0.54809999;992;t
DE-HH;sptinc992t;p90p100;1898;0.5485;992;t
DE-HH;sptinc992t;p90p100;1899;0.54979998;992;t
DE-HH;sptinc992t;p90p100;1900;0.55110002;992;t
DE-HH;sptinc992t;p90p100;1901;0.55239999;992;t
DE-HH;sptinc992t;p90p100;1902;0.55369997;992;t
DE-HH;sptinc992t;p90p100;1903;0.55500001;992;t
DE-HH;sptinc992t;p90p100;1904;0.55629998;992;t
DE-HH;sptinc992t;p90p100;1905;0.55769998;992;t
DE-HH;sptinc992t;p90p100;1906;0.5589;992;t
DE-HH;sptinc992t;p90p100;1907;0.55470002;992;t
DE-HH;sptinc992t;p90p100;1908;0.55049998;992;t
DE-HH;sptinc992t;p90p100;1909;0.54629999;992;t
DE-HH;sptinc992t;p90p100;1910;0.54220003;992;t
DE-HH;sptinc992t;p90p100;1911;0.53780001;992;t
DE-HH;sfiinc992t;p99p100;1880;0.3161;992;t
DE-HH;sfiinc992t;p99p100;1881;0.32879999;992;t
DE-HH;sfiinc992t;p99p100;1882;0.3256;992;t
DE-HH;sfiinc992t;p99p100;1883;0.3184;992;t
DE-HH;sfiinc992t;p99p100;1884;0.3075;992;t
DE-HH;sfiinc992t;p99p100;1885;0.2942;992;t
DE-HH;sfiinc992t;p99p100;1886;0.29629999;992;t
DE-HH;sfiinc992t;p99p100;1887;0.3064;992;t
DE-HH;sfiinc992t;p99p100;1888;0.3274;992;t
DE-HH;sfiinc992t;p99p100;1889;0.33880001;992;t
DE-HH;sfiinc992t;p99p100;1890;0.33019999;992;t
DE-HH;sfiinc992t;p99p100;1891;0.3109;992;t
DE-HH;sfiinc992t;p99p100;1892;0.30039999;992;t
DE-HH;sfiinc992t;p99p100;1893;0.29139999;992;t
DE-HH;sfiinc992t;p99p100;1894;0.28690001;992;t
DE-HH;sfiinc992t;p99p100;1895;0.2983;992;t
DE-HH;sfiinc992t;p99p100;1896;0.29640001;992;t
DE-HH;sfiinc992t;p99p100;1897;0.29460001;992;t
DE-HH;sfiinc992t;p99p100;1898;0.29530001;992;t
DE-HH;sfiinc992t;p99p100;1899;0.29769999;992;t
DE-HH;sfiinc992t;p99p100;1900;0.30019999;992;t
DE-HH;sfiinc992t;p99p100;1901;0.30270001;992;t
DE-HH;sfiinc992t;p99p100;1902;0.3053;992;t
DE-HH;sfiinc992t;p99p100;1903;0.30779999;992;t
DE-HH;sfiinc992t;p99p100;1904;0.31040001;992;t
DE-HH;sfiinc992t;p99p100;1905;0.31299999;992;t
DE-HH;sfiinc992t;p99p100;1906;0.315;992;t
DE-HH;sfiinc992t;p99p100;1907;0.31259999;992;t
DE-HH;sfiinc992t;p99p100;1908;0.31020001;992;t
DE-HH;sfiinc992t;p99p100;1909;0.30790001;992;t
DE-HH;sfiinc992t;p99p100;1910;0.3055;992;t
DE-HH;sfiinc992t;p99p100;1911;0.303;992;t
DE-HH;sfiinc992t;p99.9p100;1880;0.1244;992;t
DE-HH;sfiinc992t;p99.9p100;1881;0.13079999;992;t
DE-HH;sfiinc992t;p99.9p100;1882;0.1296;992;t
DE-HH;sfiinc992t;p99.9p100;1883;0.1216;992;t
DE-HH;sfiinc992t;p99.9p100;1884;0.1138;992;t
DE-HH;sfiinc992t;p99.9p100;1885;0.1059;992;t
DE-HH;sfiinc992t;p99.9p100;1886;0.107;992;t
DE-HH;sfiinc992t;p99.9p100;1887;0.1132;992;t
DE-HH;sfiinc992t;p99.9p100;1888;0.1274;992;t
DE-HH;sfiinc992t;p99.9p100;1889;0.1287;992;t
DE-HH;sfiinc992t;p99.9p100;1890;0.1237;992;t
DE-HH;sfiinc992t;p99.9p100;1891;0.1169;992;t
DE-HH;sfiinc992t;p99.9p100;1892;0.111;992;t
DE-HH;sfiinc992t;p99.9p100;1893;0.1086;992;t
DE-HH;sfiinc992t;p99.9p100;1894;0.1117;992;t
DE-HH;sfiinc992t;p99.9p100;1895;0.1202;992;t
DE-HH;sfiinc992t;p99.9p100;1896;0.1191;992;t
DE-HH;sfiinc992t;p99.9p100;1897;0.1179;992;t
DE-HH;sfiinc992t;p99.9p100;1898;0.1184;992;t
DE-HH;sfiinc992t;p99.9p100;1899;0.1197;992;t
DE-HH;sfiinc992t;p99.9p100;1900;0.1209;992;t
DE-HH;sfiinc992t;p99.9p100;1901;0.1222;992;t
DE-HH;sfiinc992t;p99.9p100;1902;0.1235;992;t
DE-HH;sfiinc992t;p99.9p100;1903;0.1248;992;t
DE-HH;sfiinc992t;p99.9p100;1904;0.1261;992;t
DE-HH;sfiinc992t;p99.9p100;1905;0.1274;992;t
DE-HH;sfiinc992t;p99.9p100;1906;0.1284;992;t
DE-HH;sfiinc992t;p99.9p100;1907;0.12809999;992;t
DE-HH;sfiinc992t;p99.9p100;1908;0.1278;992;t
DE-HH;sfiinc992t;p99.9p100;1909;0.1275;992;t
DE-HH;sfiinc992t;p99.9p100;1910;0.12720001;992;t
DE-HH;sfiinc992t;p99.9p100;1911;0.1269;992;t
DE-HH;sfiinc992t;p99.99p100;1880;0.044199999;992;t
DE-HH;sfiinc992t;p99.99p100;1881;0.0449;992;t
DE-HH;sfiinc992t;p99.99p100;1882;0.0458;992;t
DE-HH;sfiinc992t;p99.99p100;1883;0.038699999;992;t
DE-HH;sfiinc992t;p99.99p100;1884;0.034600001;992;t
DE-HH;sfiinc992t;p99.99p100;1885;0.0298;992;t
DE-HH;sfiinc992t;p99.99p100;1886;0.030400001;992;t
DE-HH;sfiinc992t;p99.99p100;1887;0.032600001;992;t
DE-HH;sfiinc992t;p99.99p100;1888;0.039099999;992;t
DE-HH;sfiinc992t;p99.99p100;1889;0.043099999;992;t
DE-HH;sfiinc992t;p99.99p100;1890;0.0394;992;t
DE-HH;sfiinc992t;p99.99p100;1891;0.036200002;992;t
DE-HH;sfiinc992t;p99.99p100;1892;0.032499999;992;t
DE-HH;sfiinc992t;p99.99p100;1893;0.033300001;992;t
DE-HH;sfiinc992t;p99.99p100;1894;0.035999998;992;t
DE-HH;sfiinc992t;p99.99p100;1895;0.040199999;992;t
DE-HH;sfiinc992t;p99.99p100;1896;0.0394;992;t
DE-HH;sfiinc992t;p99.99p100;1897;0.039799999;992;t
DE-HH;sfiinc992t;p99.99p100;1898;0.040600002;992;t
DE-HH;sfiinc992t;p99.99p100;1899;0.0414;992;t
DE-HH;sfiinc992t;p99.99p100;1900;0.042300001;992;t
DE-HH;sfiinc992t;p99.99p100;1901;0.043200001;992;t
DE-HH;sfiinc992t;p99.99p100;1902;0.044100001;992;t
DE-HH;sfiinc992t;p99.99p100;1903;0.045000002;992;t
DE-HH;sfiinc992t;p99.99p100;1904;0.046;992;t
DE-HH;sfiinc992t;p99.99p100;1905;0.0469;992;t
DE-HH;sfiinc992t;p99.99p100;1906;0.047400001;992;t
DE-HH;sfiinc992t;p99.99p100;1907;0.046599999;992;t
DE-HH;sfiinc992t;p99.99p100;1908;0.045699999;992;t
DE-HH;sfiinc992t;p99.99p100;1909;0.0449;992;t
DE-HH;sfiinc992t;p99.99p100;1910;0.044100001;992;t
DE-HH;sfiinc992t;p99.99p100;1911;0.043200001;992;t
DE-HH;sfiinc992t;p99.5p100;1880;0.24339999;992;t
DE-HH;sfiinc992t;p99.5p100;1881;0.2545;992;t
DE-HH;sfiinc992t;p99.5p100;1882;0.2518;992;t
DE-HH;sfiinc992t;p99.5p100;1883;0.2441;992;t
DE-HH;sfiinc992t;p99.5p100;1884;0.2339;992;t
DE-HH;sfiinc992t;p99.5p100;1885;0.222;992;t
DE-HH;sfiinc992t;p99.5p100;1886;0.2236;992;t
DE-HH;sfiinc992t;p99.5p100;1887;0.2318;992;t
DE-HH;sfiinc992t;p99.5p100;1888;0.2509;992;t
DE-HH;sfiinc992t;p99.5p100;1889;0.26019999;992;t
DE-HH;sfiinc992t;p99.5p100;1890;0.25260001;992;t
DE-HH;sfiinc992t;p99.5p100;1891;0.2344;992;t
DE-HH;sfiinc992t;p99.5p100;1892;0.2261;992;t
DE-HH;sfiinc992t;p99.5p100;1893;0.22040001;992;t
DE-HH;sfiinc992t;p99.5p100;1894;0.2211;992;t
DE-HH;sfiinc992t;p99.5p100;1895;0.2313;992;t
DE-HH;sfiinc992t;p99.5p100;1896;0.2299;992;t
DE-HH;sfiinc992t;p99.5p100;1897;0.22759999;992;t
DE-HH;sfiinc992t;p99.5p100;1898;0.2282;992;t
DE-HH;sfiinc992t;p99.5p100;1899;0.2304;992;t
DE-HH;sfiinc992t;p99.5p100;1900;0.2326;992;t
DE-HH;sfiinc992t;p99.5p100;1901;0.2349;992;t
DE-HH;sfiinc992t;p99.5p100;1902;0.23720001;992;t
DE-HH;sfiinc992t;p99.5p100;1903;0.2395;992;t
DE-HH;sfiinc992t;p99.5p100;1904;0.2418;992;t
DE-HH;sfiinc992t;p99.5p100;1905;0.2441;992;t
DE-HH;sfiinc992t;p99.5p100;1906;0.24590001;992;t
DE-HH;sfiinc992t;p99.5p100;1907;0.24439999;992;t
DE-HH;sfiinc992t;p99.5p100;1908;0.2429;992;t
DE-HH;sfiinc992t;p99.5p100;1909;0.2414;992;t
DE-HH;sfiinc992t;p99.5p100;1910;0.23989999;992;t
DE-HH;sfiinc992t;p99.5p100;1911;0.2383;992;t
DE-HH;sfiinc992t;p95p100;1880;0.49509999;992;t
DE-HH;sfiinc992t;p95p100;1881;0.50629997;992;t
DE-HH;sfiinc992t;p95p100;1882;0.50400001;992;t
DE-HH;sfiinc992t;p95p100;1883;0.49680001;992;t
DE-HH;sfiinc992t;p95p100;1884;0.4878;992;t
DE-HH;sfiinc992t;p95p100;1885;0.47510001;992;t
DE-HH;sfiinc992t;p95p100;1886;0.4772;992;t
DE-HH;sfiinc992t;p95p100;1887;0.48609999;992;t
DE-HH;sfiinc992t;p95p100;1888;0.50449997;992;t
DE-HH;sfiinc992t;p95p100;1889;0.51419997;992;t
DE-HH;sfiinc992t;p95p100;1890;0.50510001;992;t
DE-HH;sfiinc992t;p95p100;1891;0.4887;992;t
DE-HH;sfiinc992t;p95p100;1892;0.47920001;992;t
DE-HH;sfiinc992t;p95p100;1893;0.4702;992;t
DE-HH;sfiinc992t;p95p100;1894;0.45629999;992;t
DE-HH;sfiinc992t;p95p100;1895;0.46579999;992;t
DE-HH;sfiinc992t;p95p100;1896;0.4639;992;t
DE-HH;sfiinc992t;p95p100;1897;0.46110001;992;t
DE-HH;sfiinc992t;p95p100;1898;0.46200001;992;t
DE-HH;sfiinc992t;p95p100;1899;0.4637;992;t
DE-HH;sfiinc992t;p95p100;1900;0.46529999;992;t
DE-HH;sfiinc992t;p95p100;1901;0.46689999;992;t
DE-HH;sfiinc992t;p95p100;1902;0.4686;992;t
DE-HH;sfiinc992t;p95p100;1903;0.4702;992;t
DE-HH;sfiinc992t;p95p100;1904;0.47189999;992;t
DE-HH;sfiinc992t;p95p100;1905;0.4736;992;t
DE-HH;sfiinc992t;p95p100;1906;0.47510001;992;t
DE-HH;sfiinc992t;p95p100;1907;0.47099999;992;t
DE-HH;sfiinc992t;p95p100;1908;0.46689999;992;t
DE-HH;sfiinc992t;p95p100;1909;0.46290001;992;t
DE-HH;sfiinc992t;p95p100;1910;0.45879999;992;t
DE-HH;sfiinc992t;p95p100;1911;0.45449999;992;t
DE-HH;sfiinc992t;p90p100;1880;0.58929998;992;t
DE-HH;sfiinc992t;p90p100;1881;0.60030001;992;t
DE-HH;sfiinc992t;p90p100;1882;0.5934;992;t
DE-HH;sfiinc992t;p90p100;1883;0.58639997;992;t
DE-HH;sfiinc992t;p90p100;1884;0.57889998;992;t
DE-HH;sfiinc992t;p90p100;1885;0.56809998;992;t
DE-HH;sfiinc992t;p90p100;1886;0.5711;992;t
DE-HH;sfiinc992t;p90p100;1887;0.57910001;992;t
DE-HH;sfiinc992t;p90p100;1888;0.5916;992;t
DE-HH;sfiinc992t;p90p100;1889;0.60039997;992;t
DE-HH;sfiinc992t;p90p100;1890;0.5923;992;t
DE-HH;sfiinc992t;p90p100;1891;0.57929999;992;t
DE-HH;sfiinc992t;p90p100;1892;0.57179999;992;t
DE-HH;sfiinc992t;p90p100;1893;0.56419998;992;t
DE-HH;sfiinc992t;p90p100;1894;0.54640001;992;t
DE-HH;sfiinc992t;p90p100;1895;0.55379999;992;t
DE-HH;sfiinc992t;p90p100;1896;0.55119997;992;t
DE-HH;sfiinc992t;p90p100;1897;0.54809999;992;t
DE-HH;sfiinc992t;p90p100;1898;0.5485;992;t
DE-HH;sfiinc992t;p90p100;1899;0.54979998;992;t
DE-HH;sfiinc992t;p90p100;1900;0.55110002;992;t
DE-HH;sfiinc992t;p90p100;1901;0.55239999;992;t
DE-HH;sfiinc992t;p90p100;1902;0.55369997;992;t
DE-HH;sfiinc992t;p90p100;1903;0.55500001;992;t
DE-HH;sfiinc992t;p90p100;1904;0.55629998;992;t
DE-HH;sfiinc992t;p90p100;1905;0.55769998;992;t
DE-HH;sfiinc992t;p90p100;1906;0.5589;992;t
DE-HH;sfiinc992t;p90p100;1907;0.55470002;992;t
DE-HH;sfiinc992t;p90p100;1908;0.55049998;992;t
DE-HH;sfiinc992t;p90p100;1909;0.54629999;992;t
DE-HH;sfiinc992t;p90p100;1910;0.54220003;992;t
DE-HH;sfiinc992t;p90p100;1911;0.53780001;992;t
